,accuracy,loss,val_acc
0,0.5142463445663452,0.8189151883125305,0.495
1,0.4990808963775635,0.8165870904922485,0.5
2,0.4973958432674408,0.798958420753479,0.5
3,0.5022978186607361,0.7898684144020081,0.5
4,0.5024816393852234,0.7801016569137573,0.5
5,0.5036764740943909,0.7725874781608582,0.5
6,0.504004716873169,0.7650321125984192,0.5
7,0.5025849938392639,0.7606831192970276,0.5
8,0.5031147599220276,0.7562571167945862,0.5
9,0.5030790567398071,0.7520677447319031,0.5
10,0.5041360259056091,0.7481921315193176,0.5
11,0.5044807195663452,0.7455098628997803,0.5
12,0.504984438419342,0.7430258393287659,0.5
13,0.5044971108436584,0.7404446601867676,0.5
14,0.5052695870399475,0.7380697727203369,0.5
15,0.5062614679336548,0.7358455657958984,0.5
16,0.5078936219215393,0.7335192561149597,0.5
17,0.508425235748291,0.7315742373466492,0.5
18,0.5089492797851562,0.7300881743431091,0.5
19,0.5088465213775635,0.7287021279335022,0.5
20,0.509037971496582,0.7273741364479065,0.5
21,0.5085645318031311,0.7263012528419495,0.5
